,PrimaryPropertyType,PropertyName,Latitude,Longitude,SiteEnergyUse.kBtu.,Outlier
1,Hotel,84SC9-The Westin Seattle,47.61393,-122.3381,74470328,
2,Hotel,42SCF-W Seattle,47.60713,-122.33323,27806852,
3,Hotel,Renaissance Seattle Hotel,47.60681,-122.33078,33959408,
4,Mixed Use Property,Plant 2 Site,47.53493,-122.31788,579302208,
5,Warehouse,Seattle 11-13,47.51138,-122.28875,45259796,
6,K-12 School,Blanchet High School,47.68891,-122.33553,8565306,
7,Self-Storage Facility,Vine Street,47.61351,-122.35129,1938035.875,
8,Hotel,Sheraton Seattle Hotel,47.61087,-122.33339,85870096,
9,Senior Care Community,PSSA - The Mount,47.55837,-122.37751,47947440,
10,Senior Care Community,Foss Home and Village,47.72426,-122.35599,17354576,
11,K-12 School,Ingraham High,47.7257,-122.33684,12601269,
12,Hospital,Swedish Ballard,47.66737,-122.37956,69350008,
13,K-12 School,Franklin High,47.57589,-122.29365,8600206,
14,Small- and Mid-Sized Office,Seattle Children's Hospital 70th/Sand Point Way Administrative Offices,47.67836,-122.26442,17476230,
15,K-12 School,Garfield High,47.60598,-122.30156,14018362,
16,Residence Hall,Emerson Hall,47.65068,-122.36331,4968569.5,
17,K-12 School,Nathan Hale High,47.70763,-122.29453,9442413,
18,Retail Store,Northgate Mall,47.70759,-122.3255,30711020,
19,Hospital,Seattle Children's Hospital Main Campus,47.66231,-122.28146,258019328,
20,K-12 School,Ballard High,47.67661,-122.37489,9096033,
21,Self-Storage Facility,Madison Self Storage,47.61233,-122.3171,1251958.25,
22,University,NSCC MAIN CAMPUS,47.69936,-122.33401,39987776,
23,K-12 School,Rainier Beach High,47.52407,-122.26586,9800618,
24,Warehouse,8109,47.55901,-122.33328,7500874.5,
25,K-12 School,Denny/Sealth Campus,47.52915,-122.36511,12822132,
26,Self-Storage Facility,U-Haul Moving and Storage of West Seattle (701065),47.54508,-122.37737,1406600.25,
27,Small- and Mid-Sized Office,North Service Center,47.70044,-122.34136,9432721,
28,Other,CenturyLink,47.59544,-122.33159,68816432,
29,Distribution Center,SCL SSC Building A,47.57199,-122.32811,10031638,
30,Other,Safeco Field,47.59085,-122.33354,68088408,
31,Large Office,South Park,47.52429,-122.31234,50567340,
32,Mid-Rise Multifamily,YWCA Opportunity Place,47.61316,-122.34153,10839175,
33,Low-Rise Multifamily,,47.54448,-122.37603,NA,
34,Hotel,Grand Hyatt Seattle,47.61275,-122.3333,65718336,
35,Hospital,Swedish Cherry Hill,47.60705,-122.30966,146845936,
36,Hospital,Harborview Medical Center,47.60399,-122.32377,285952544,
37,Senior Care Community,ID Village Square 1,47.59626,-122.3218,11103403,
38,Small- and Mid-Sized Office,,47.71895,-122.29475,NA,
39,Worship Facility,University Congregational United Church of Christ,47.66182,-122.31113,2930340.5,
40,Worship Facility,University Presbyterian Church,47.6626,-122.31164,5598684,
41,K-12 School,Roosevelt High,47.67723,-122.31281,10274055,
42,Residence Hall,Women's Residence at Seneca,47.6079,-122.33266,5662477,
43,Other,1122 3rd Ave,47.60699,-122.33481,60957996,
44,K-12 School,Cleveland STEM High,47.55237,-122.31391,8751308,
45,Medical Office,BMR-201 Elliott Avenue LLC,47.61972,-122.36033,27902224,
46,Hotel,MI Seattle Waterfront - 337V2,47.61069,-122.34653,27247592,
47,Retail Store,Nordstrom #001 Downtown Seattle,47.61229,-122.33629,38686632,
48,Other,Jack R. McDonald Building,47.61598,-122.33448,67186504,
49,Hotel,Motif Seattle,47.60996,-122.33572,29874376,
50,Large Office,Safeco Plaza,47.60615,-122.33388,51704948,
51,Large Office,Seattle Municipal Tower,47.60501,-122.32988,50145112,
52,Supermarket / Grocery Store,70500872 -- Holman Road,47.7019,-122.36374,13581690,
53,Hotel,Fairmont Olympic,47.60804,-122.33391,58113856,
54,Retail Store,RAINIER ELECTRONICS LLC,47.57936,-122.29744,12560712,
55,Large Office,1201 Third Avenue,47.60723,-122.33611,51986012,
56,Hotel,WAC aggregate,47.60968,-122.33379,33987124,
57,Large Office,US Bank Centre,47.61054,-122.33466,60570092,
58,Large Office,,47.60902,-122.33674,NA,
59,Retail Store,(71367A) SEATTLE Macy's,47.6113,-122.33844,26118134,
60,Other,Washington State Convention Center,47.61195,-122.33167,77866936,
61,Medical Office,1101 Madison Tower,47.60921,-122.32425,26399406,
62,Mixed Use Property,KOMO Plaza - East Building,47.61915,-122.34857,54011324,
63,Mixed Use Property,KOMO Plaza - West Building,47.61915,-122.34857,73919184,
64,Retail Store,Costco #0001 Seattle,47.5653,-122.33076,24262622,
65,Other,VM Seattle Hospital & Medical Center - Buck Pavilion,47.60953,-122.32793,57734060,
66,Retail Store,70100608-Ballard,47.66057,-122.36857,18996608,
67,Laboratory,Rosen Building - SEDO,47.62348,-122.33743,11299267,
68,Laboratory,401 Terry (ID470),47.62254,-122.33753,38792480,
69,Self-Storage Facility,08185-Lake Union,47.62572,-122.33389,2669956.25,
70,Other,Weintraub/Hutchinson/Thomas,47.62855,-122.33035,135749040,
71,Mixed Use Property,307 Westlake - SEDO,47.62121,-122.33885,31111300,
72,Laboratory,UW Medicine Research Phase I,47.62405,-122.34036,25826554,
73,Mixed Use Property,UW Medicine Research Phase II,47.62405,-122.34036,50575576,
74,Medical Office,4225 Roosevelt 2ros4225,47.65821,-122.31831,18730266,
75,Self-Storage Facility,Market St Center,47.66838,-122.3931,5807330,
76,Hospital,SCCA,47.62667,-122.32965,45805132,
77,Supermarket / Grocery Store,70100179-Lake City,47.7237,-122.29232,13942242,
